date,open,high,low,close,open_usd,high_usd,low_usd,close_usd,volume,market cap
2018-06-26,4507.56696000,4522.37588920,4351.11430000,4376.91096440,6252.00000000,6272.54000000,6035.00000000,6070.78000000,19377.24048400,19377.24048400
2018-06-27,4373.38537220,4463.17622140,4304.97158000,4422.29665540,6065.89000000,6190.43000000,5971.00000000,6133.73000000,19225.67109800,19225.67109800
2018-06-28,4423.01763540,4450.61674980,4201.15046000,4220.60250040,6134.73000000,6173.01000000,5827.00000000,5853.98000000,30585.26602600,30585.26602600
2018-06-29,4218.46118980,4542.17400000,4167.26440000,4468.57636160,5851.01000000,6300.00000000,5780.00000000,6197.92000000,33911.28727800,33911.28727800
2018-06-30,4468.57636160,4707.27121020,4460.00390940,4607.11266860,6197.92000000,6528.99000000,6186.03000000,6390.07000000,37919.61284000,37919.61284000
2018-07-01,4607.84085840,4643.87543880,4506.84598000,4583.13287380,6391.08000000,6441.06000000,6251.00000000,6356.81000000,27562.96597400,27562.96597400
2018-07-02,4586.02400360,4819.75130000,4521.71258760,4769.49178420,6360.82000000,6685.00000000,6271.62000000,6615.29000000,36230.45226400,36230.45226400
2018-07-03,4769.49178420,4815.67776300,4659.70094980,4696.36278280,6615.29000000,6679.35000000,6463.01000000,6513.86000000,38657.78169100,38657.78169100
2018-07-04,4694.30798980,4891.79162160,4643.91148780,4749.08084040,6511.01000000,6784.92000000,6441.11000000,6586.98000000,23571.89277700,23571.89277700
2018-07-05,4748.03541940,4839.21776000,4652.72186340,4707.42261600,6585.53000000,6712.00000000,6453.33000000,6529.20000000,35071.97289800,35071.97289800
2018-07-06,4707.42261600,4793.46436920,4632.29650000,4765.51918440,6529.20000000,6648.54000000,6425.00000000,6609.78000000,29397.09474800,29397.09474800
2018-07-07,4765.52639420,4915.75699680,4692.77230240,4871.64744040,6609.79000000,6818.16000000,6508.88000000,6756.98000000,23973.87688600,23973.87688600
2018-07-08,4869.12401040,4888.24440000,4807.09089120,4839.28985800,6753.48000000,6780.00000000,6667.44000000,6712.10000000,24622.94779400,24622.94779400
2018-07-09,4839.28985800,4904.14921880,4767.29279520,4803.25527760,6712.10000000,6802.06000000,6612.24000000,6662.12000000,26732.40655000,26732.40655000
2018-07-10,4803.73112440,4816.86738000,4515.49774000,4539.94617180,6662.78000000,6681.00000000,6263.00000000,6296.91000000,38560.67270200,38560.67270200
2018-07-11,4539.94617180,4618.59788000,4527.02621020,4598.46090860,6296.91000000,6406.00000000,6278.99000000,6378.07000000,28715.49848700,28715.49848700
2018-07-12,4598.46090860,4600.05427440,4376.34860000,4506.53595860,6378.07000000,6380.28000000,6070.00000000,6250.57000000,31306.66334800,31306.66334800
2018-07-13,4507.13437200,4578.22300000,4405.18780000,4480.58067860,6251.40000000,6350.00000000,6110.00000000,6214.57000000,26375.32528600,26375.32528600
2018-07-14,4480.58067860,4567.40830000,4454.21444000,4507.55975020,6214.57000000,6335.00000000,6178.00000000,6251.99000000,17783.07199900,17783.07199900
2018-07-15,4506.77388200,4610.66710000,4488.38889200,4580.39314980,6250.90000000,6395.00000000,6225.40000000,6353.01000000,22979.21150800,22979.21150800
2018-07-16,4581.21506700,4864.66835400,4564.09179200,4847.40088300,6354.15000000,6747.30000000,6330.40000000,6723.35000000,36204.87708000,36204.87708000
2018-07-17,4847.38646340,5384.99241020,4795.98779920,5275.72789120,6723.33000000,7468.99000000,6652.04000000,7317.44000000,52105.42345900,52105.42345900
2018-07-18,5275.72789120,5470.85391840,5209.35447240,5322.20226200,7317.44000000,7588.08000000,7225.38000000,7381.90000000,59487.64345000,59487.64345000
2018-07-19,5322.18784240,5462.34635440,5241.52460000,5382.98808580,7381.88000000,7576.28000000,7270.00000000,7466.21000000,41218.25643700,41218.25643700
2018-07-20,5384.89868280,5551.54600000,5243.68754000,5290.21237940,7468.86000000,7700.00000000,7273.00000000,7337.53000000,46140.31344700,46140.31344700
2018-07-21,5290.16912060,5377.40770060,5198.98678000,5334.37240440,7337.47000000,7458.47000000,7211.00000000,7398.78000000,28886.49029100,28886.49029100
2018-07-22,5334.71126500,5466.75875200,5288.74879000,5331.49569420,7399.25000000,7582.40000000,7335.50000000,7394.79000000,30270.21844000,30270.21844000
2018-07-23,5331.48848440,5647.43634000,5317.22750000,5566.69378980,7394.78000000,7833.00000000,7375.00000000,7721.01000000,41646.34667100,41646.34667100
2018-07-24,5567.15521700,6118.23628000,5548.66208000,6054.24209520,7721.65000000,8486.00000000,7696.00000000,8397.24000000,60121.16374900,60121.16374900
2018-07-25,6054.24209520,6122.39633460,5803.88900000,5894.47292720,8397.24000000,8491.77000000,8050.00000000,8175.64000000,48257.64912400,48257.64912400
2018-07-26,5894.46571740,5995.44617620,5659.73625880,5710.16160000,8175.63000000,8315.69000000,7850.06000000,7920.00000000,43223.48168200,43223.48168200
2018-07-27,5710.16160000,5973.31930000,5627.24890000,5903.79519860,7920.00000000,8285.00000000,7805.00000000,8188.57000000,43671.00589100,43671.00589100
2018-07-28,5903.79519860,5945.59040920,5816.14566000,5930.08933920,8188.57000000,8246.54000000,8067.00000000,8225.04000000,26215.17383900,26215.17383900
2018-07-29,5930.08933920,5980.17581980,5850.75270000,5919.96678000,8225.04000000,8294.51000000,8115.00000000,8211.00000000,25531.22618500,25531.22618500
2018-07-30,5919.95957020,5964.66754000,5671.22868000,5893.23284160,8210.99000000,8273.00000000,7866.00000000,8173.92000000,39692.41654200,39692.41654200
2018-07-31,5891.41597200,5897.61640000,5503.24034000,5573.84591140,8171.40000000,8180.00000000,7633.00000000,7730.93000000,48296.91558700,48296.91558700
2018-08-01,5577.26335660,5587.59500000,5356.88140000,5482.75008840,7735.67000000,7750.00000000,7430.00000000,7604.58000000,42582.31293200,42582.31293200
2018-08-02,5479.50567840,5558.36647080,5375.42500560,5425.88639580,7600.08000000,7709.46000000,7455.72000000,7525.71000000,37665.69668400,37665.69668400
2018-08-03,5425.88639580,5436.18920000,5250.49359120,5348.79200440,7525.71000000,7540.00000000,7282.44000000,7418.78000000,44669.48604700,44669.48604700
2018-08-04,5344.09842460,5403.60811380,4993.50748000,5053.95444320,7412.27000000,7494.81000000,6926.00000000,7009.84000000,36288.42601000,36288.42601000
2018-08-05,5053.95444320,5111.65447260,4961.99344420,5064.30050620,7009.84000000,7089.87000000,6882.29000000,7024.19000000,32894.84978200,32894.84978200
2018-08-06,5064.30050620,5162.21680000,4917.80458000,4999.86652360,7024.19000000,7160.00000000,6821.00000000,6934.82000000,32760.19164300,32760.19164300
2018-08-07,4999.99630000,5155.33865080,4808.93660000,4845.02885880,6935.00000000,7150.46000000,6670.00000000,6720.06000000,45438.47350100,45438.47350100
2018-08-08,4845.43981740,4846.09590920,4414.56054000,4531.35930000,6720.63000000,6721.54000000,6123.00000000,6285.00000000,59550.53631900,59550.53631900
2018-08-09,4530.11200460,4774.91355380,4454.64702800,4707.84799420,6283.27000000,6622.81000000,6178.60000000,6529.79000000,51941.18511100,51941.18511100
2018-08-10,4707.84799420,4741.07796240,4344.90666220,4429.70832980,6529.79000000,6575.88000000,6026.39000000,6144.01000000,59034.97490200,59034.97490200
2018-08-11,4432.67876740,4677.71824000,4304.97158000,4493.39970300,6148.13000000,6488.00000000,5971.00000000,6232.35000000,47133.41855500,47133.41855500
2018-08-12,4486.33409900,4666.39885400,4419.60740000,4548.17976340,6222.55000000,6472.30000000,6130.00000000,6308.33000000,38567.77071200,38567.77071200
2018-08-13,4548.34558880,4718.81410000,4430.45093920,4503.49342300,6308.56000000,6545.00000000,6145.04000000,6246.35000000,53895.82878300,53895.82878300
2018-08-14,4504.86328500,4506.36292340,4239.36240000,4461.48191840,6248.25000000,6250.33000000,5880.00000000,6188.08000000,50186.74509100,50186.74509100
2018-08-15,4461.48191840,4764.95682000,4449.96786780,4518.49701680,6188.08000000,6609.00000000,6172.11000000,6267.16000000,68806.68702600,68806.68702600
2018-08-16,4517.13436460,4671.95040000,4474.11348800,4550.64551500,6265.27000000,6480.00000000,6205.60000000,6311.75000000,48515.25461800,48515.25461800
2018-08-17,4553.70968000,4747.65330000,4531.64769200,4747.28560020,6316.00000000,6585.00000000,6285.40000000,6584.49000000,57851.61080300,57851.61080300
2018-08-18,4743.35625920,4772.88760000,4533.52224000,4605.59140080,6579.04000000,6620.00000000,6288.00000000,6387.96000000,53742.32217200,53742.32217200
2018-08-19,4605.59140080,4715.93018000,4542.17400000,4670.16957940,6387.96000000,6541.00000000,6300.00000000,6477.53000000,45190.84799400,45190.84799400
2018-08-20,4670.16957940,4707.99940000,4484.49560000,4509.61454320,6477.53000000,6530.00000000,6220.00000000,6254.84000000,49435.55526000,49435.55526000
2018-08-21,4506.84598000,4686.37000000,4495.36797840,4671.95040000,6251.00000000,6500.00000000,6235.08000000,6480.00000000,41569.94740800,41569.94740800
2018-08-22,4671.93598040,4962.17368920,4506.99017600,4586.07447220,6479.98000000,6882.54000000,6251.20000000,6360.89000000,77909.39135900,77909.39135900
2018-08-23,4587.28571860,4741.87825020,4572.65703440,4704.40170980,6362.57000000,6576.99000000,6342.28000000,6525.01000000,40358.16682500,40358.16682500
2018-08-24,4704.39450000,4848.59050000,4643.47169000,4817.32880720,6525.00000000,6725.00000000,6440.50000000,6681.64000000,38305.67532200,38305.67532200
2018-08-25,4821.17884040,4894.73322000,4794.95679780,4854.81976720,6686.98000000,6789.00000000,6650.61000000,6733.64000000,19220.50592900,19220.50592900
2018-08-26,4854.81976720,4884.83416460,4735.39664000,4830.56600000,6733.64000000,6775.27000000,6568.00000000,6700.00000000,20107.29720800,20107.29720800
2018-08-27,4830.56600000,5003.96889980,4791.99357000,4980.99126720,6700.00000000,6940.51000000,6646.50000000,6908.64000000,37747.07874700,37747.07874700
2018-08-28,4979.99631480,5144.19230000,4945.92280000,5101.73378780,6907.26000000,7135.00000000,6860.00000000,7076.11000000,48352.91716300,48352.91716300
2018-08-29,5102.37546000,5143.33433380,4983.65889320,5069.36899560,7077.00000000,7133.81000000,6912.34000000,7031.22000000,43252.48739200,43252.48739200
2018-08-30,5070.80374580,5092.73595740,4891.71231380,5035.92994320,7033.21000000,7063.63000000,6784.81000000,6984.84000000,44716.77462000,44716.77462000
2018-08-31,5035.92994320,5111.02722000,4966.11024000,5054.94218580,6984.84000000,7089.00000000,6888.00000000,7011.21000000,40467.40063800,40467.40063800
2018-09-01,5054.94218580,5245.12950000,5053.16136520,5191.06320980,7011.21000000,7275.00000000,7008.74000000,7200.01000000,40323.41409300,40323.41409300
2018-09-02,5192.18793860,5295.92254100,5138.42446000,5264.60316980,7201.57000000,7345.45000000,7127.00000000,7302.01000000,39814.84035200,39814.84035200
2018-09-03,5264.59596000,5290.75311440,5185.02139740,5236.49215960,7302.00000000,7338.28000000,7191.63000000,7263.02000000,32396.01837100,32396.01837100
2018-09-04,5236.47774000,5342.46180000,5210.64502660,5305.73507880,7263.00000000,7410.00000000,7227.17000000,7359.06000000,35300.64051800,35300.64051800
2018-09-05,5305.72786900,5333.30535400,4817.58836000,4830.56600000,7359.05000000,7397.30000000,6682.00000000,6700.00000000,63715.25626700,63715.25626700
2018-09-06,4828.59772460,4848.59050000,4516.93970000,4697.91288980,6697.27000000,6725.00000000,6265.00000000,6516.01000000,60644.46422700,60644.46422700
2018-09-07,4698.51130320,4718.09312000,4556.59360000,4611.05642920,6516.84000000,6544.00000000,6320.00000000,6395.54000000,38906.28805000,38906.28805000
2018-09-08,4611.05642920,4670.50844000,4405.90878000,4459.29734900,6395.54000000,6478.00000000,6111.00000000,6185.05000000,38215.03217100,38215.03217100
2018-09-09,4459.30455880,4643.83218000,4427.92029940,4506.70899380,6185.06000000,6441.00000000,6141.53000000,6250.81000000,37053.92382000,37053.92382000
2018-09-10,4507.75441480,4595.51210040,4485.21658000,4550.82576000,6252.26000000,6373.98000000,6221.00000000,6312.00000000,32439.45643200,32439.45643200
2018-09-11,4550.81855020,4617.15592000,4448.21588640,4538.50421180,6311.99000000,6404.00000000,6169.68000000,6294.91000000,33104.88859000,33104.88859000
2018-09-12,4537.12714000,4585.43280000,4464.57492260,4570.01824760,6293.00000000,6360.00000000,6192.37000000,6338.62000000,31433.64593900,31433.64593900
2018-09-13,4570.01824760,4711.60430000,4569.13865200,4677.27123240,6338.62000000,6535.00000000,6337.40000000,6487.38000000,40465.06310700,40465.06310700
2018-09-14,4677.27844220,4747.64609020,4603.90430760,4669.52069740,6487.39000000,6584.99000000,6385.62000000,6476.63000000,37173.33927700,37173.33927700
2018-09-15,4669.52069740,4733.55814100,4661.95040740,4697.15586080,6476.63000000,6565.45000000,6466.13000000,6514.96000000,25243.65661200,25243.65661200
2018-09-16,4697.15586080,4704.12052760,4592.64260000,4689.97490000,6514.96000000,6524.62000000,6370.00000000,6505.00000000,27568.13289700,27568.13289700
2018-09-17,4686.42767840,4710.76796320,4470.79698000,4505.18051620,6500.08000000,6533.84000000,6201.00000000,6248.69000000,35987.25473800,35987.25473800
2018-09-18,4505.18051620,4607.06220000,4488.08608040,4568.45372100,6248.69000000,6390.00000000,6224.98000000,6336.45000000,32620.86667000,32620.86667000
2018-09-19,4568.41046220,4699.13134600,4414.56054000,4608.42485220,6336.39000000,6517.70000000,6123.00000000,6391.89000000,39044.08008200,39044.08008200
2018-09-20,4608.50416000,4715.20920000,4560.19850000,4680.60216000,6392.00000000,6540.00000000,6325.00000000,6492.00000000,25189.02472800,25189.02472800
2018-09-21,4680.60216000,4891.74836280,4679.88118000,4873.11823960,6492.00000000,6784.86000000,6491.00000000,6759.02000000,51779.34346300,51779.34346300
2018-09-22,4873.11102980,4930.80384940,4777.93446000,4847.18458900,6759.01000000,6839.03000000,6627.00000000,6723.05000000,29349.69066700,29349.69066700
2018-09-23,4847.18458900,4894.17806540,4802.98851500,4836.33384000,6723.05000000,6788.23000000,6661.75000000,6708.00000000,30286.22977300,30286.22977300
2018-09-24,4835.47587380,4852.19540000,4727.46586000,4745.05056220,6706.81000000,6730.00000000,6557.00000000,6581.39000000,35305.73991000,35305.73991000
2018-09-25,4745.07219160,4746.93952980,4560.21291960,4648.54738920,6581.42000000,6584.01000000,6325.02000000,6447.54000000,40301.02945200,40301.02945200
2018-09-26,4646.79540780,4728.17963020,4599.63610600,4661.22221760,6445.11000000,6557.99000000,6379.70000000,6465.12000000,33484.54207000,33484.54207000
2018-09-27,4663.18328320,4866.61500000,4638.78532000,4822.72894740,6467.84000000,6750.00000000,6434.00000000,6689.13000000,33087.42829700,33087.42829700
2018-09-28,4822.72173760,4913.33450400,4715.84366240,4783.39948840,6689.12000000,6814.80000000,6540.88000000,6634.58000000,42399.44852300,42399.44852300
2018-09-29,4783.39948840,4784.42328000,4660.82567860,4755.85805240,6634.58000000,6636.00000000,6464.57000000,6596.38000000,30255.95970000,30255.95970000
2018-09-30,4756.78090680,4803.16876000,4710.16234000,4777.62443860,6597.66000000,6662.00000000,6533.00000000,6626.57000000,27764.72451900,27764.72451900
2018-10-01,4777.62443860,4806.83854820,4693.57980000,4766.83857780,6626.57000000,6667.09000000,6510.00000000,6611.61000000,20621.50689400,20621.50689400
2018-10-02,4765.67780000,4787.30720000,4682.04412000,4704.96407420,6610.00000000,6640.00000000,6494.00000000,6525.79000000,28245.81008800,28245.81008800
2018-10-03,4704.96407420,4721.69802000,4635.90140000,4693.57980000,6525.79000000,6549.00000000,6430.00000000,6510.00000000,28451.96913800,28451.96913800
2018-10-04,4693.58700980,4789.80179080,4690.03978820,4753.99071420,6510.01000000,6643.46000000,6505.09000000,6593.79000000,20074.30081800,20074.30081800
2018-10-05,4752.47665620,4828.40306000,4717.42981840,4784.17093700,6591.69000000,6697.00000000,6543.08000000,6635.65000000,16096.55239200,16096.55239200
